Date,Open,High,Low,Close,Adj Close,Volume
1996-01-01,5.550000190734863,5.599999904632568,5.533332824707031,5.5833330154418945,3.2557361125946045,985500
1996-01-02,5.466666221618652,5.566666126251221,5.288887977600098,5.372221946716309,3.132633924484253,7470000
1996-01-03,5.133333206176758,5.254444122314453,5.101110935211182,5.199999809265137,3.032208204269409,15160500
1996-01-04,5.199999809265137,5.332221984863281,5.144443988800049,5.29777717590332,3.089224100112915,12397500
1996-01-05,5.29777717590332,5.277777194976807,5.188888072967529,5.202221870422363,3.033503293991089,5008500
1996-01-08,5.202221870422363,5.238887786865234,5.011110782623291,5.042222023010254,2.9402050971984863,12645000
1996-01-09,5.042222023010254,5.108888149261475,4.983333110809326,5.02888822555542,2.9324307441711426,8968500
1996-01-10,5.02888822555542,5.111111164093018,4.977777004241943,5.012221813201904,2.922711133956909,2988000
1996-01-11,5.012221813201904,5.043333053588867,4.988887786865234,5.038887977600098,2.938261032104492,2227500
1996-01-12,5.038887977600098,5.133333206176758,5.02222204208374,5.088888168334961,2.9674172401428223,4806000
1996-01-15,5.088888168334961,5.111111164093018,5.027777194976807,5.0344438552856445,2.9356696605682373,2020500
1996-01-16,5.0344438552856445,5.067777156829834,5.0,5.018887996673584,2.92659854888916,3082500
1996-01-17,5.018887996673584,5.0444440841674805,5.002222061157227,5.017776966094971,2.925950288772583,3078000
1996-01-18,5.017776966094971,4.997776985168457,4.888887882232666,4.955554962158203,2.8896684646606445,5148000
1996-01-19,4.955554962158203,4.966666221618652,4.627777099609375,4.741110801696777,2.764622211456299,16128000
1996-01-22,4.741110801696777,4.77555513381958,4.645555019378662,4.70777702331543,2.745185375213623,3946500
1996-01-23,4.70777702331543,4.747776985168457,4.377777099609375,4.416666030883789,2.5754334926605225,7947000
1996-01-24,4.416666030883789,4.477777004241943,4.150000095367432,4.225554943084717,2.4639933109283447,15763500
1996-01-25,4.225554943084717,4.222221851348877,4.144443988800049,4.18222188949585,2.4387242794036865,8140500
1996-01-26,4.18222188949585,4.18222188949585,4.18222188949585,4.18222188949585,2.4387242794036865,0
1996-01-29,4.18222188949585,4.505555152893066,4.167777061462402,4.416666030883789,2.5754334926605225,9639000
1996-01-30,4.416666030883789,4.82111120223999,4.440000057220459,4.6922221183776855,2.736114501953125,15669000
1996-01-31,4.6922221183776855,4.650000095367432,4.460000038146973,4.516665935516357,2.633744478225708,9598500
1996-02-01,4.516665935516357,4.866665840148926,4.52222204208374,4.79777717590332,2.79766583442688,12573000
1996-02-02,4.887776851654053,5.444444179534912,4.8444437980651855,5.347776889801025,3.118380069732666,28179000
1996-02-05,5.347776889801025,5.888887882232666,5.355555057525635,5.621110916137695,3.2777655124664307,18873000
1996-02-06,5.733333110809326,5.776666164398193,5.412221908569336,5.567777156829834,3.2466650009155273,14112000
1996-02-07,5.488887786865234,5.599999904632568,5.335555076599121,5.485555171966553,3.198720932006836,13968000
1996-02-08,5.5555548667907715,6.062222003936768,5.488887786865234,6.062222003936768,3.534984588623047,21955500
1996-02-09,6.062222003936768,6.396666049957275,6.068888187408447,6.262221813201904,3.6516079902648926,12181500
1996-02-12,6.3444437980651855,6.3444437980651855,6.0,6.065555095672607,3.53692889213562,14436000
1996-02-13,6.065555095672607,6.288887977600098,6.0,6.210000038146973,3.621157169342041,11718000
1996-02-14,6.311110973358154,6.588888168334961,6.311110973358154,6.4033331871032715,3.733891725540161,9598500
1996-02-15,6.4033331871032715,6.644443988800049,6.3333330154418945,6.466666221618652,3.770822763442993,16924500
1996-02-16,6.311110973358154,6.488887786865234,6.15555477142334,6.274444103240967,3.6587345600128174,12861000
1996-02-19,6.27555513381958,6.388887882232666,6.266665935516357,6.27222204208374,3.6574389934539795,5913000
1996-02-20,6.3333330154418945,6.3333330154418945,5.866665840148926,5.996665954589844,3.496757984161377,9823500
1996-02-21,5.996665954589844,5.996665954589844,5.996665954589844,5.996665954589844,3.496757984161377,0
1996-02-22,5.996665954589844,6.221110820770264,6.127777099609375,6.1433329582214355,3.5822815895080566,3231000
1996-02-23,6.1433329582214355,6.15555477142334,5.980000019073486,6.064444065093994,3.5362794399261475,3168000
1996-02-26,6.064444065093994,6.222221851348877,6.002222061157227,6.078887939453125,3.5447030067443848,4230000
1996-02-27,6.078887939453125,6.144443988800049,6.02222204208374,6.059999942779541,3.5336880683898926,4432500
1996-02-28,6.059999942779541,6.218887805938721,6.0,6.02555513381958,3.513603687286377,3217500
1996-02-29,6.02555513381958,6.0,5.556665897369385,5.645555019378662,3.2920191287994385,8167500
1996-03-01,5.645555019378662,5.800000190734863,5.603332996368408,5.742221832275391,3.348388433456421,6880500
1996-03-04,5.742221832275391,5.8333330154418945,5.688888072967529,5.765554904937744,3.361992359161377,6084000
